ID,Year_Birth,Education,MaritalStatus,Income,Recency,NumWebPurchases,NumStorePurchases,NumWebVisitsMonth,Response
12511,1954,Graduation,Single,46344,38,1,2,5,0
12512,1972,PhD,Single,38578,2,3,3,8,1
12513,1971,PhD,Single,60504,73,6,8,6,0
12514,1976,Graduation,Married,58597,20,7,9,7,0
12515,1975,Graduation,Together,22280,85,1,2,8,0
12516,1969,PhD,Married,33581,38,1,2,8,0
12517,1974,Master,Married,58494,56,6,6,6,0
12518,1952,Master,Divorced,59354,53,6,5,6,0
12519,1985,PhD,Married,64355,66,4,12,8,0
12520,1959,PhD,Divorced,68805,73,3,7,2,0
12521,1956,PhD,Together,77376,72,6,10,4,0
12522,1980,Graduation,Divorced,81702,98,7,12,3,0
12523,1991,Graduation,Single,49767,92,5,8,4,0
12524,1986,Graduation,Single,,19,27,0,1,0
12525,1974,Master,Together,43018,46,2,2,5,0
12526,1967,PhD,Married,77766,97,11,11,6,1
12527,1979,Graduation,Divorced,15287,60,1,2,7,1
12528,1959,Graduation,Married,53154,50,3,4,4,0
12529,1966,Graduation,Single,34704,65,1,3,5,0
12530,1957,Graduation,Married,52852,93,10,5,8,0
12531,1982,2n Cycle,Together,66664,78,5,6,3,0
12532,1958,Graduation,Divorced,35246,53,3,3,5,0
12533,1977,Graduation,Single,28769,76,4,4,9,0
12534,1970,Graduation,Together,22070,11,2,2,6,0
12535,1958,Graduation,Single,94472,75,5,5,5,0
12536,1982,Graduation,Together,19444,8,4,2,7,1
12537,1974,Graduation,Together,75702,87,10,13,6,0
12538,1969,Master,Together,44602,35,6,4,8,0
12539,1983,Graduation,Together,78687,13,4,8,2,1
12540,1974,Graduation,Married,26067,49,3,3,8,0
12541,1981,2n Cycle,Together,75774,27,7,8,4,0
12542,1956,Master,Together,58656,25,7,13,6,0
12543,1977,PhD,Married,61996,27,6,8,5,1
12544,1966,Graduation,Single,33279,29,0,3,3,0
12545,1965,PhD,Married,81051,43,5,12,2,0
12546,1976,Graduation,Together,29478,59,1,3,6,0
12547,1978,Graduation,Together,28587,42,2,4,6,0
12548,1950,Master,Divorced,38054,24,2,3,7,0
12549,1978,Master,Single,35544,77,2,3,7,0
12550,1976,Master,Single,60482,81,7,7,7,0
12551,1990,Graduation,Married,30093,19,2,3,7,0
12552,1978,Graduation,Married,73807,88,5,11,2,0
12553,1972,Master,Married,53761,7,4,3,5,0
12554,1945,PhD,Single,45576,9,3,3,8,1
12555,1977,Master,Married,22701,2,1,3,5,0
12556,1960,Master,Married,30522,6,1,9,2,0
12557,1968,Master,Divorced,23748,97,2,3,8,0
12558,1965,Graduation,Married,59754,96,5,6,5,1
12559,1973,Graduation,Married,25410,48,1,4,4,0
12560,1974,PhD,Married,34596,48,1,2,8,1
12561,1965,Graduation,Together,47009,89,3,8,4,0
12562,1962,Graduation,Together,76081,85,4,4,2,0
12563,1976,Graduation,Together,51369,84,8,4,8,0
12564,1954,Graduation,Divorced,72071,4,5,8,2,0
12565,1952,Graduation,Single,72228,87,6,8,3,0
12566,1954,Graduation,Married,80067,82,4,6,2,0
12567,1956,Graduation,Married,79456,12,5,4,3,1
12568,1971,Graduation,Single,26954,17,1,2,7,0
12569,1968,Graduation,Married,19514,47,3,2,8,0
12570,1955,Master,Married,38452,62,3,3,7,0
12571,1980,Graduation,Single,28071,65,5,5,8,0
12572,1952,2n Cycle,Widow,28457,96,4,4,8,0
12573,1963,PhD,Together,66313,86,6,12,4,0
12574,1952,Graduation,Single,44213,48,2,5,6,0
12575,1968,Master,Divorced,23748,97,2,3,8,0
12576,1965,2n Cycle,Together,71488,87,3,7,1,0
12577,1978,2n Cycle,Single,52195,2,1,2,8,0
12578,1957,PhD,Together,40451,54,1,2,5,0
12579,1992,Basic,Single,7500,63,3,2,9,0
12580,1954,2n Cycle,Single,42607,30,3,7,3,0
12581,1973,2n Cycle,Married,46094,62,1,3,7,0
12582,1954,Graduation,Married,50501,10,5,4,6,1
12583,1968,Graduation,Together,34916,89,5,3,9,0
12584,1947,Graduation,Single,77457,85,2,10,1,0
12585,1971,Master,Single,33316,34,2,4,6,0
12586,1978,Master,Together,85738,41,3,11,1,0
12587,1965,Master,Widow,51390,54,5,5,5,0
12588,1972,PhD,Single,38578,2,3,3,8,1
12589,1975,Graduation,Together,55914,32,11,8,7,0
12590,1977,2n Cycle,Divorced,59601,14,2,7,8,0
12591,1961,PhD,Married,,23,6,7,6,0
12592,1971,Master,Married,38196,20,2,4,5,0
12593,1981,2n Cycle,Together,75774,27,7,8,4,0
12594,1956,2n Cycle,Together,54342,74,3,4,6,0
12595,1961,Graduation,Married,36443,9,3,3,8,0
12596,1972,Master,Married,37787,50,3,3,8,0
12597,1960,Graduation,Married,29440,95,1,4,7,0
12598,1972,PhD,Married,78075,72,3,5,1,0
12599,1978,2n Cycle,Divorced,21282,76,2,2,6,0
12600,1958,Graduation,Single,94472,75,5,5,5,0
12601,1980,Graduation,Together,62994,74,6,4,6,0
12602,1978,PhD,Married,46377,89,2,3,4,0
12603,1961,Master,Married,61794,74,4,10,2,0
12604,1978,PhD,Married,82170,13,5,7,2,0
12605,1971,Graduation,Married,70886,65,5,4,2,0
12606,1973,Basic,Together,27190,13,1,2,8,1
12607,1955,Master,Married,52750,72,5,9,4,0
12608,1991,Graduation,Married,51373,37,3,3,4,0
12609,1960,PhD,Married,65695,50,5,10,4,0
12610,1980,2n Cycle,Single,67506,73,4,6,3,0
12611,1979,Basic,Single,15862,26,1,3,8,0
12612,1975,PhD,Married,45503,54,3,4,5,0
12613,1959,Graduation,Together,71367,24,4,7,2,0
12614,1963,PhD,Single,36736,52,1,2,6,0
12615,1988,Master,Single,90247,27,3,7,1,1
12616,1981,Master,Married,36959,56,2,3,8,0
12617,1973,Master,Married,60432,61,7,5,6,0
12618,1973,PhD,Single,54466,78,1,2,5,0
12619,1982,PhD,Married,160803,21,0,1,0,0
12620,1969,Graduation,Married,14045,24,1,3,7,0
12621,1983,PhD,Married,50150,32,5,7,5,0
12622,1964,Master,Single,58308,77,2,3,8,0
12623,1959,PhD,Married,36732,71,1,4,2,0
12624,1945,Graduation,Married,69755,23,3,12,1,0
12625,1949,Master,Married,76995,91,11,9,5,0
12626,1956,PhD,Widow,78028,38,6,9,7,1
12627,1974,Graduation,Single,49166,17,5,3,6,0
12628,1980,Graduation,Together,44964,35,1,3,8,0
12629,1982,Graduation,Married,69109,10,6,7,4,1
12630,1973,Graduation,Married,37971,97,1,3,8,0
12631,1972,Graduation,Married,22063,43,2,3,7,0
12632,1976,Graduation,Married,65991,21,9,10,7,0
12633,1963,Graduation,Together,54414,49,3,5,4,0
12634,1986,Graduation,Married,25252,26,1,2,8,0
12635,1983,Master,Single,89616,36,7,12,2,1
12636,1960,Master,Together,73113,86,3,7,2,0
12637,1977,Graduation,Divorced,32952,36,2,3,7,0
12638,1952,Graduation,Together,33402,60,2,3,8,0
12639,1984,Graduation,Together,23976,68,3,3,7,0
12640,1949,Graduation,Married,72025,46,4,13,2,1
12641,1952,Graduation,Single,40887,32,3,3,9,1
12642,1962,PhD,Married,42769,15,1,4,4,0
12643,1966,PhD,Together,65814,90,8,10,5,0
12644,1962,PhD,Single,52597,69,6,8,5,0
12645,1978,Graduation,Single,28647,54,2,2,7,1
12646,1949,PhD,Married,156924,85,0,0,0,0
12647,1969,PhD,Married,94871,99,8,4,7,1
12648,1974,Master,Married,83891,24,4,10,1,0
12649,1981,Graduation,Married,54386,8,3,10,3,0
12650,1956,Master,Together,14661,88,1,3,6,0
12651,1976,Basic,Married,7500,59,2,3,8,0
12652,1976,Graduation,Married,46049,11,5,9,7,1
12653,1988,Graduation,Single,39747,43,5,4,8,0
12654,1977,Graduation,Married,72117,34,9,9,5,0
12655,1957,Graduation,Together,21994,4,0,3,5,0
12656,1953,Graduation,Together,94384,62,5,5,2,1
12657,1962,PhD,Divorced,85696,88,4,9,1,1
12658,1973,Graduation,Married,31814,73,2,3,9,0
12659,1954,PhD,Married,36930,50,5,4,8,0
12660,1982,Graduation,Married,37040,41,4,5,8,0
12661,1972,PhD,Single,27213,19,2,4,8,1
12662,1971,Master,Married,38196,20,2,4,5,0
12663,1960,Graduation,Divorced,62204,38,4,12,3,0
12664,1955,2n Cycle,Married,62972,39,7,3,6,0
12665,1956,Graduation,Together,54450,0,9,8,8,0
12666,1986,Graduation,Together,78394,13,4,5,2,1
12667,1982,Graduation,Together,50272,75,4,5,7,0
12668,1957,Graduation,Widow,65486,29,4,10,2,0
12669,1961,PhD,Divorced,64325,41,10,5,7,0
12670,1978,Master,Married,43783,22,7,8,7,0
12671,1992,Master,Single,92859,46,5,12,2,0
12672,1971,PhD,Together,49269,92,7,12,7,0
12673,1960,Master,Together,17144,96,3,4,7,0
12674,1969,Graduation,Married,25293,51,1,2,8,0
12675,1946,PhD,Single,62159,68,6,10,4,0
12676,1990,Graduation,Married,18929,15,1,4,6,0
12677,1975,PhD,Married,40233,84,2,5,6,0
12678,1970,Master,Single,29548,52,1,2,4,0
12679,1985,PhD,Married,18169,40,1,2,8,0
12680,1991,Master,Single,90638,29,3,10,1,0
12681,1951,Graduation,Together,86610,66,5,6,2,0
12682,1979,Basic,Together,24594,94,1,3,5,0
12683,1948,Master,Widow,78427,36,3,10,3,1
12684,1971,Graduation,Together,38232,84,3,3,5,0
12685,1954,Graduation,Single,46344,38,1,2,5,0
12686,1970,Graduation,Single,20587,39,1,2,7,0
12687,1976,Master,Married,33181,90,1,2,6,0
12688,1972,PhD,Married,57091,82,9,5,7,1
12689,1987,PhD,Single,42000,23,5,11,5,1
12690,1980,Graduation,Married,61014,17,9,4,7,0
12691,1974,2n Cycle,Married,20130,99,1,3,8,0
12692,1976,PhD,Together,52190,39,2,3,5,0
12693,1951,Master,Single,49389,55,2,3,7,0
12694,1970,2n Cycle,Married,15315,27,2,4,5,0
12695,1954,Graduation,Together,39898,20,3,4,7,0
12696,1964,Graduation,Together,63404,97,6,4,4,0
12697,1975,PhD,Married,86836,7,6,6,5,1
12698,1950,Graduation,Married,57045,40,4,9,3,0
12699,1968,Master,Divorced,63841,64,9,9,6,0
12700,1969,PhD,Married,51039,11,6,4,7,0
12701,1978,Graduation,Married,64813,81,7,10,5,0
12702,1948,Graduation,Married,92344,9,5,5,1,0
12703,1957,Master,Together,65487,48,3,6,2,0
12704,1971,Master,Together,157733,37,1,1,1,0
12705,1947,Master,Together,66000,36,1,5,1,0
12706,1965,Graduation,Divorced,30630,67,2,3,7,0
12707,1966,PhD,Single,7144,92,23,1,0,0
12708,1950,PhD,Together,5648,68,1,0,20,0
12709,1978,Graduation,Divorced,63693,63,11,9,6,0
12710,1954,Master,Together,36634,0,5,5,7,0
12711,1958,PhD,Single,50729,62,6,7,6,0
12712,1975,Graduation,Married,37085,65,3,3,8,0
12713,1958,Graduation,Single,45160,9,1,2,7,0
12714,1955,Graduation,Together,59925,83,9,9,6,0
12715,1966,Graduation,Together,37758,49,1,3,8,0
12716,1965,Graduation,Together,47009,89,3,8,4,0
12717,1960,Graduation,Together,44512,57,1,3,4,0
12718,1954,PhD,Married,72550,39,5,12,8,0
12719,1976,Graduation,Married,59809,36,3,6,8,0
12720,1994,Graduation,Single,95529,29,7,7,3,1
12721,1955,PhD,Together,46015,25,1,3,7,0
12722,1974,PhD,Married,45207,64,3,6,6,0
12723,1987,Graduation,Divorced,81361,18,3,13,1,1
12724,1974,Graduation,Single,32233,26,6,2,9,1
12725,1975,Graduation,Married,65106,55,8,13,6,0
12726,1970,Graduation,Widow,66731,33,4,6,3,0
12727,1970,PhD,Married,69084,43,7,13,8,0
12728,1985,Graduation,Married,19986,74,0,3,7,0
12729,1969,Graduation,Married,75759,46,9,9,5,1
12730,1987,2n Cycle,Married,30390,5,2,3,6,0
12731,1958,Graduation,Together,66886,28,7,7,5,0
12732,1974,PhD,Married,34596,48,1,2,8,1
12733,1975,Graduation,Divorced,83829,78,4,6,1,1
12734,1989,Graduation,Married,28691,56,1,3,8,0
12735,1955,PhD,Together,46015,25,1,3,7,0
12736,1956,Master,Married,62058,52,6,7,6,0
12737,1990,Graduation,Married,18929,15,1,4,6,0
12738,1965,PhD,Widow,54111,97,5,6,5,0
12739,1970,Master,Married,44159,85,4,6,5,0
12740,1947,PhD,Together,81574,89,4,8,1,0
12741,1973,Graduation,Married,52845,7,8,6,6,0
12742,1960,Graduation,Together,78468,29,10,10,4,0
12743,1960,Graduation,Together,44512,57,1,3,4,0
12744,1967,PhD,Married,59062,74,2,3,4,0
12745,1962,Graduation,Divorced,39552,54,6,5,8,1
12746,1970,Master,Divorced,78579,35,5,4,3,1
12747,1954,Graduation,Single,36130,46,3,4,4,1
12748,1951,Master,Single,49389,55,2,3,7,0
12749,1978,2n Cycle,Together,38702,71,3,4,6,0
12750,1986,2n Cycle,Married,21955,81,2,3,6,0
12751,1966,PhD,Single,69759,38,4,5,3,1
12752,1956,Graduation,Single,91249,84,7,6,4,1
12753,1959,Graduation,Married,65031,29,10,13,7,0
12754,1975,Graduation,Single,56243,26,4,8,5,0
12755,1963,PhD,Widow,52278,24,10,10,8,0
12756,1972,PhD,Single,38578,2,3,3,8,0
12757,1951,Graduation,Divorced,43185,88,9,6,8,0
12758,1951,Graduation,Married,44689,82,1,2,7,0
12759,1976,PhD,Married,16927,50,3,4,8,0
12760,1955,Graduation,Single,80317,64,3,10,1,0
12761,1974,Graduation,Single,43322,25,3,4,7,0
12762,1954,Graduation,Divorced,70044,46,7,5,5,0
12763,1973,PhD,Divorced,35860,37,1,2,5,1
12764,1967,Graduation,Together,32474,0,1,2,7,0
12765,1988,Graduation,Single,27938,31,1,4,3,0
12766,1986,Graduation,Divorced,41411,11,2,4,6,0
12767,1974,Graduation,Together,83145,14,5,11,2,1
12768,1968,Master,Divorced,63841,64,9,9,6,0
12769,1978,Graduation,Divorced,41986,15,3,4,4,0
12770,1990,Graduation,Married,35765,86,2,4,6,0
12771,1971,Master,Divorced,44635,25,2,3,7,0
12772,1962,Graduation,Single,50785,27,2,3,6,0
12773,1985,Graduation,Married,19986,74,0,3,7,0
12774,1963,Master,Divorced,49476,29,2,5,2,0
12775,1971,Master,Together,30538,27,9,4,10,0
12776,1965,2n Cycle,Married,70924,41,6,7,3,0
12777,1976,Graduation,Divorced,12571,86,3,3,6,0
12778,1963,Master,Divorced,48721,50,4,5,6,0
12779,1970,2n Cycle,Married,62466,13,6,12,4,0
12780,1984,2n Cycle,Married,14796,1,1,3,9,1
12781,1953,Graduation,Together,61278,87,3,4,6,0
12782,1969,PhD,Together,54132,81,1,3,7,0
12783,1947,PhD,Married,67472,93,4,7,3,0
12784,1980,Graduation,Married,33228,28,2,3,7,0
12785,1982,Master,Together,23661,46,1,3,7,0
12786,1970,Graduation,Divorced,84835,0,4,6,1,1
12787,1977,Graduation,Single,28769,76,4,4,9,0
12788,1989,Graduation,Together,31928,5,3,4,7,0
12789,1966,Graduation,Single,33279,29,0,3,3,0
12790,1963,Master,Single,64191,30,5,13,3,0
12791,1978,PhD,Married,37717,31,1,2,9,0
12792,1974,Graduation,Married,30631,75,3,2,7,0
12793,1973,2n Cycle,Married,35688,94,4,4,8,0
12794,1970,2n Cycle,Married,15315,27,2,4,5,0
12795,1972,Graduation,Married,38988,90,5,6,8,0
12796,1980,PhD,Single,36802,23,1,3,5,0
12797,1968,Graduation,Married,19329,39,4,3,8,0
12798,1971,Graduation,Single,26954,17,1,2,7,0
12799,1978,Graduation,Single,30168,51,6,4,9,0
12800,1973,PhD,Married,37401,14,2,3,7,0
12801,1973,Master,Married,38961,60,2,2,7,0
12802,1980,Master,Divorced,78789,12,4,5,2,1
12803,1980,Graduation,Together,62994,74,6,4,6,0
12804,1956,Master,Married,90226,26,4,12,2,0
12805,1988,Graduation,Single,68655,95,4,11,3,0
12806,1958,Graduation,Divorced,71964,81,5,5,3,0
12807,1968,Master,Together,32889,78,2,3,5,0
12808,1967,Graduation,Married,35441,94,1,3,8,0
12809,1979,Graduation,Divorced,15287,60,1,2,7,1
12810,1979,Master,Single,16653,10,2,3,6,1
12811,1989,Graduation,Single,81217,77,3,11,1,0
12812,1976,Graduation,Divorced,12571,86,3,3,6,0
12813,1968,PhD,Divorced,69674,46,10,10,5,0
12814,1979,Graduation,Together,21645,75,3,3,9,1
12815,1965,Graduation,Married,48006,55,1,3,6,0
12816,1983,Master,Single,89616,36,7,12,2,1
12817,1986,Graduation,Divorced,41411,11,2,4,6,0
12818,1982,Graduation,Single,39660,36,7,3,9,1
12819,1990,Graduation,Married,73687,8,3,9,2,1
12820,1952,2n Cycle,Widow,28457,96,4,4,8,0
12821,1976,Basic,Married,7500,59,2,3,8,0
12822,1978,Graduation,Married,33039,4,2,4,5,0
12823,1985,Master,Married,20559,88,2,3,8,0
12824,1977,Graduation,Together,33178,9,1,3,4,0
12825,1953,Graduation,Single,73892,40,3,8,1,1
12826,1965,PhD,Widow,54111,97,5,6,5,0
12827,1981,2n Cycle,Single,24336,82,1,2,7,0
12828,1963,Graduation,Married,,96,6,7,4,0
12829,1979,Graduation,Divorced,68274,83,4,5,3,0
12830,1959,Graduation,Married,65031,29,10,13,7,0
12831,1987,Graduation,Single,23442,71,1,3,7,0
12832,1958,2n Cycle,Single,38741,60,2,3,7,0
12833,1956,PhD,Together,77376,72,6,10,4,0
12834,1963,PhD,Single,46757,71,4,7,9,0
12835,1967,PhD,Divorced,28420,36,1,2,6,0
12836,1966,Master,Married,38179,30,3,3,7,0
12837,1983,Graduation,Married,39922,30,3,4,8,0
12838,1957,Graduation,Together,21994,4,0,3,5,0
12839,1950,Graduation,Single,16813,49,2,3,7,0
12840,1965,Master,Together,45143,74,6,5,7,0
12841,1975,PhD,Divorced,74165,9,5,10,2,0
12842,1970,PhD,Married,23626,84,3,3,5,0
12843,1958,Graduation,Together,53977,21,5,12,5,0
12844,1976,Graduation,Together,85606,89,6,9,3,0
12845,1972,Graduation,Married,22063,43,2,3,7,0
12846,1958,PhD,Single,79761,32,5,11,3,0
12847,1965,Master,Married,70053,38,8,10,5,0
12848,1984,Graduation,Together,35196,68,6,5,8,1
12849,1975,Graduation,Married,27573,45,5,4,8,0
12850,1975,PhD,Married,40233,84,2,5,6,0
12851,1967,Graduation,Together,44931,0,2,3,5,0
12852,1960,Graduation,Together,44512,57,1,3,4,0
12853,1984,Master,Single,31385,56,1,2,8,1
12854,1953,Master,Married,54348,51,2,4,6,0
12855,1957,Graduation,Single,,45,1,2,7,0
12856,1984,PhD,Single,42710,38,4,3,6,0
12857,1970,Graduation,Together,81205,43,5,7,2,1
12858,1971,Graduation,Together,38232,84,3,3,5,0
12859,1975,Graduation,Together,22280,85,1,2,8,0
12860,1968,PhD,Divorced,83664,57,2,12,5,0
12861,1985,PhD,Single,30298,48,1,3,3,0
12862,1957,Graduation,Together,21994,4,0,3,5,0
12863,1958,2n Cycle,Together,26490,92,3,5,6,0
12864,1982,Graduation,Together,40479,95,0,3,4,0
12865,1989,Graduation,Together,31928,5,3,4,7,0
12866,1976,PhD,Together,72335,2,10,8,8,1
12867,1948,PhD,Together,76140,57,5,6,2,0
12868,1969,PhD,Together,69476,3,4,4,2,0
12869,1975,Master,Married,37368,4,1,2,6,0
12870,1940,PhD,Single,51141,96,3,4,5,0
12871,1978,PhD,Married,41014,65,1,2,7,0
12872,1970,Master,Together,79419,96,4,4,2,0
12873,1966,2n Cycle,Single,89572,44,7,9,4,1
12874,1979,Master,Divorced,33462,78,2,3,7,0
12875,1976,Graduation,Divorced,30992,83,1,3,7,0
12876,1973,Master,Divorced,52034,67,4,5,7,0
12877,1973,2n Cycle,Married,35688,94,4,4,8,0
12878,1987,Graduation,Together,18227,21,0,2,8,0
12879,1991,Master,Single,90638,29,3,10,1,0
12880,1964,PhD,Married,45759,13,2,3,7,0
12881,1975,Graduation,Divorced,36627,78,0,3,5,0
12882,1980,2n Cycle,Together,14515,71,2,3,7,1
12883,1975,Basic,Married,30801,23,1,3,7,0
12884,1960,Master,Married,28520,55,1,2,6,0
12885,1969,Graduation,Married,44078,17,2,3,5,0
12886,1960,PhD,Together,38201,19,5,5,8,0
12887,1973,PhD,Together,63516,30,4,7,5,0
12888,1958,Graduation,Together,,87,1,3,5,0
12889,1957,Graduation,Single,36864,53,5,4,8,1
12890,1978,2n Cycle,Married,25804,34,2,3,8,0
12891,1978,2n Cycle,Married,25804,34,2,3,8,0
12892,1971,Master,Married,49505,4,10,8,8,0
12893,1976,Graduation,Divorced,30992,83,1,3,7,0
12894,1983,Graduation,Married,30096,30,2,3,6,0
12895,1971,PhD,Married,78931,19,2,13,1,0
12896,1984,Graduation,Single,36108,68,7,4,9,0
12897,1987,Graduation,Together,67430,6,11,12,6,0
12898,1971,Graduation,Married,37150,80,4,6,7,0
12899,1973,PhD,YOLO,48432,3,7,6,8,1
12900,1966,Master,Divorced,29435,11,3,2,9,1
12901,1975,2n Cycle,Married,37284,46,0,3,6,0
12902,1986,2n Cycle,Married,21955,81,2,3,6,0
12903,1971,Graduation,Married,37150,80,4,6,7,0
12904,1959,Graduation,Divorced,61250,49,5,12,5,0
12905,1965,PhD,Married,84618,96,6,10,2,0
12906,1971,Graduation,Single,10245,32,1,2,5,0
12907,1984,Graduation,Single,36108,68,7,4,9,0
12908,1956,Master,Together,34941,26,3,3,8,0
12909,1970,Graduation,Single,67384,32,7,5,5,0
12910,1971,2n Cycle,Married,78041,93,4,9,2,0
12911,1958,Graduation,Married,81320,61,4,10,2,0
12912,1953,Graduation,Together,34587,68,1,3,4,0
12913,1966,PhD,Together,65814,90,8,10,5,0
12914,1958,Graduation,Together,64961,97,6,4,3,0
12915,1978,Graduation,Together,28587,42,2,4,6,0
12916,1970,Graduation,Married,50447,4,3,3,6,0
12917,1962,Master,Single,59247,87,5,9,6,0
12918,1975,PhD,Divorced,74165,9,5,10,2,0
12919,1975,Graduation,Married,33183,46,4,3,7,0
12920,1978,Graduation,Divorced,55563,22,2,3,3,0
12921,1960,Graduation,Together,78468,29,10,10,4,0
12922,1978,Graduation,Divorced,71022,30,5,11,8,0
12923,1984,PhD,Married,73356,56,5,5,2,1
12924,1963,PhD,Single,48918,21,1,4,4,0
12925,1946,Master,Married,66835,21,6,13,2,0
12926,1977,PhD,Divorced,34487,94,3,3,9,0
12927,1959,Graduation,Married,18690,77,1,2,8,0
12928,1990,2n Cycle,Married,24683,98,2,4,5,0
12929,1965,Graduation,Married,61482,39,3,6,2,0
12930,1978,2n Cycle,Single,36975,50,1,3,7,0
12931,1977,Graduation,Together,33178,9,1,3,4,0
12932,1978,2n Cycle,Together,38702,71,3,4,6,0
12933,1961,Basic,Married,28249,80,2,3,6,0
12934,1974,PhD,Married,38410,65,5,9,6,1
12935,1968,Graduation,Single,36065,54,3,3,8,0
12936,1984,Graduation,Married,31761,96,3,4,5,0
12937,1959,Graduation,Married,87195,35,3,5,1,1
12938,1954,PhD,Married,52869,40,3,4,7,1
12939,1980,Graduation,Married,41850,51,3,3,8,0
12940,1993,Graduation,Single,74293,66,5,6,2,0
12941,1941,PhD,Married,93027,77,7,5,2,0
12942,1967,Master,Divorced,81380,51,4,10,2,0
12943,1968,PhD,Married,38443,58,1,3,7,0
12944,1977,Master,Married,27889,42,1,2,6,0
12945,1968,Graduation,Single,70566,4,6,9,3,0
12946,1958,Graduation,Together,64961,97,6,4,3,0
12947,1978,Master,Married,43783,22,7,8,7,0
12948,1982,Graduation,Together,50272,75,4,5,7,0
12949,1979,Master,Married,40662,0,2,3,4,0
12950,1953,Graduation,Together,41452,86,1,2,7,0
12951,1976,2n Cycle,Together,26326,12,0,3,3,0
12952,1979,Graduation,Single,60474,25,10,12,7,0
12953,1983,Graduation,Married,39922,30,3,4,8,0
12954,1957,Master,Absurd,65487,48,3,6,2,0
12955,1973,PhD,Together,63516,30,4,7,5,0
12956,1971,Graduation,Single,91700,58,8,5,3,1
12957,1960,2n Cycle,Married,82504,2,3,7,1,0
12958,1970,Master,Married,36138,48,3,4,7,0
12959,1974,Master,Divorced,53367,2,5,8,7,1
12960,1971,PhD,Divorced,65808,1,5,5,6,0
12961,1970,PhD,Married,69084,43,7,13,8,0
12962,1981,Graduation,Together,38547,49,1,2,8,0
12963,1962,2n Cycle,Divorced,81975,2,6,4,7,0
12964,1940,PhD,Single,51141,96,3,4,5,0
12965,1969,Graduation,Single,54803,65,6,9,4,0
12966,1970,Graduation,Married,69016,61,8,13,5,0
12967,1956,Master,Together,50943,49,1,3,5,0
12968,1987,Graduation,Single,23442,71,1,3,7,0
12969,1976,PhD,Together,37395,47,1,3,6,0
12970,1990,Graduation,Single,34412,62,5,3,9,0
12971,1971,Master,Together,71499,12,8,13,4,0
12972,1951,Basic,Married,26997,89,4,5,7,0
12973,1965,Graduation,Single,42720,9,7,7,8,1
12974,1951,Graduation,Single,60689,23,4,10,3,0
12975,1990,Graduation,Married,18929,15,1,4,6,0
12976,1960,Graduation,Married,67716,8,7,13,5,0
12977,1986,Master,Married,27161,41,1,3,7,0
12978,1972,2n Cycle,Married,24884,32,0,3,7,0
12979,1992,Basic,Single,7500,63,3,2,9,0
12980,1948,PhD,Together,46681,52,4,4,5,0
12981,1955,PhD,Together,46015,25,1,3,7,0
12982,1969,Master,Together,41021,12,2,3,6,1
12983,1986,Graduation,Together,78394,13,4,5,2,1
12984,1975,Graduation,Single,33955,92,5,5,8,0
12985,1969,Master,Together,35924,56,1,3,5,0
12986,1983,Graduation,Together,28427,67,2,3,8,0
12987,1978,2n Cycle,Single,52195,2,1,2,8,0
12988,1989,Graduation,Single,30279,13,1,3,8,0
12989,1967,2n Cycle,Together,30753,85,1,3,5,0
12990,1964,PhD,Married,45759,13,2,3,7,0
12991,1975,PhD,Single,52614,63,2,8,8,0
12992,1974,Graduation,Together,75702,87,10,13,6,0
12993,1974,Graduation,Single,43322,25,3,4,7,0
12994,1985,Graduation,Together,29103,38,1,3,9,0
12995,1968,PhD,Divorced,50616,56,4,4,7,0
12996,1975,Master,Single,46098,86,3,2,8,0
12997,1956,Master,Married,62058,52,6,7,6,0
12998,1974,PhD,Single,71466,86,4,10,1,0
12999,1956,Graduation,Single,60230,78,6,6,5,0
13000,1954,Graduation,Together,32144,76,2,3,7,0
13001,1956,Master,Single,64857,78,7,10,4,0
13002,1975,Graduation,Married,65106,55,8,13,6,0
13003,1991,Graduation,Married,42691,48,5,6,5,0
13004,1987,Master,Single,73454,95,2,6,5,0
13005,1970,Graduation,Single,20587,39,1,2,7,0
13006,1971,PhD,Together,32892,78,3,3,8,0
13007,1984,Graduation,Single,11012,82,3,2,9,0
13008,1971,Graduation,Single,58350,5,8,12,6,0
13009,1974,Graduation,Married,60093,92,7,10,6,0
13010,1995,2n Cycle,Single,83257,56,5,12,6,1
13011,1970,Graduation,Together,81205,43,5,7,2,1
13012,1970,2n Cycle,Divorced,65706,77,11,12,7,1
13013,1966,Graduation,Single,33279,29,0,3,3,0
13014,1969,Graduation,Divorced,69901,95,7,10,5,0
13015,1976,PhD,Divorced,66476,99,5,11,4,0
13016,1964,PhD,Married,60896,90,9,4,6,1
13017,1981,Graduation,Single,41967,66,1,3,4,0
13018,1954,Graduation,Together,75315,14,5,12,2,0
13019,1971,Graduation,Divorced,1730,65,0,0,20,0
13020,1973,Graduation,Widow,42429,99,1,3,5,0
13021,1971,Graduation,Single,72258,28,6,5,2,0
13022,1955,2n Cycle,Married,62972,39,7,3,6,1
13023,1974,Graduation,Single,43322,25,3,4,7,0
13024,1970,Graduation,Married,70617,45,3,7,2,0
13025,1956,2n Cycle,Together,58821,44,9,9,6,0
13026,1970,Graduation,Together,105471,36,9,13,3,1
13027,1975,Graduation,Widow,58330,87,6,13,4,0
13028,1972,Graduation,Married,77981,78,7,7,5,0
13029,1974,PhD,Single,30899,35,1,3,6,0
